No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
37336,WISEA J031211.85-080424.8,48.04939,-8.07356,QSO,479738.0,1.600232,SLS ,20.5g,0.0,22,0,43,5,12,8,0
37337,WISEA J031211.73-075135.7,48.0494,-7.85987,G,,,,20.5g,0.0,0,0,27,2,0,4,0
37338,WISEA J031211.87-081517.6,48.04946,-8.25489,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37339,WISEA J031211.90-074450.0,48.04961,-7.74724,G,,,,22.0g,0.0,0,0,31,3,0,4,0
37340,SDSS J031211.91-080845.3,48.04963,-8.14594,G,,,,22.7g,0.0,0,0,15,1,0,4,0
37341,WISEA J031211.91-082925.0,48.04965,-8.49029,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37342,WISEA J031211.91-073451.2,48.04967,-7.5809,*,,,,18.1g,0.0,0,0,25,4,0,4,0
37343,WISEA J031211.93-074532.8,48.04975,-7.75911,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37344,WISEA J031211.94-073201.8,48.04976,-7.53385,G,,,,22.0g,0.0,0,0,27,2,0,4,0
37345,SDSS J031211.95-072537.9,48.04983,-7.42721,G,,,,22.8g,0.0,0,0,15,1,0,4,0
37346,WISEA J031211.86-074058.3,48.04986,-7.68203,*,,,,23.7g,0.0,0,0,17,2,0,4,0
37347,SDSS J031211.96-072522.2,48.04987,-7.42285,*,,,,22.0g,0.0,0,0,5,1,0,4,0
37348,WISEA J031211.97-082212.4,48.04988,-8.37012,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37349,SDSS J031211.98-071944.9,48.04993,-7.32916,G,,,,22.3g,0.0,0,0,15,1,0,3,0
37350,WISEA J031212.01-081901.8,48.05008,-8.31719,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37351,WISEA J031212.02-081959.2,48.0501,-8.33312,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37352,SDSS J031212.02-073240.4,48.0501,-7.54458,*,27.0,9e-05,SLS ,18.8g,0.0,0,0,8,4,2,4,0
37353,WISEA J031212.03-071656.2,48.05013,-7.2823,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37354,WISEA J031212.03-082811.3,48.05013,-8.46982,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37355,WISEA J031212.04-071310.6,48.05018,-7.21963,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37356,WISEA J031211.99-075309.3,48.05022,-7.8859,G,,,,22.2g,0.0,0,0,27,2,0,4,0
37357,WISEA J031212.05-071804.8,48.05024,-7.30133,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37358,WISEA J031212.06-073747.4,48.05028,-7.62984,*,,,,17.4g,0.0,0,0,23,3,0,3,0
37359,WISEA J031212.06-080530.1,48.05028,-8.0917,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37360,WISEA J031212.07-080134.3,48.05032,-8.02621,*,,,,12.7g,0.0,0,0,29,5,0,4,0
37361,WISEA J031212.08-080521.9,48.05035,-8.08942,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37362,SDSS J031212.09-075720.1,48.05038,-7.9556,*,,,,23.2g,0.0,0,0,5,1,0,4,0
37363,SDSS J031212.09-080432.0,48.05038,-8.07556,G,,,,23.3g,0.0,0,0,15,1,0,4,0
37364,WISEA J031212.10-074608.7,48.05045,-7.7691,*,,,,21.4g,0.0,0,0,23,3,0,4,0
37365,WISEA J031212.10-073631.4,48.05045,-7.60872,G,,,,22.1g,0.0,0,0,27,2,0,4,0
37366,WISEA J031212.16-074021.8,48.05046,-7.6724,G,,,,22.7g,0.0,0,0,27,2,0,4,0
37367,WISEA J031212.11-072624.5,48.05047,-7.44015,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37368,WISEA J031212.12-072326.0,48.05052,-7.39057,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37369,WISEA J031212.13-072339.8,48.05054,-7.39465,G,,,,21.7g,0.0,0,0,27,2,0,4,0
37370,WISEA J031212.13-075528.2,48.05058,-7.92453,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37371,WISEA J031212.14-074831.6,48.0506,-7.80898,G,,,,22.3g,0.0,0,0,27,2,0,4,0
37372,WISEA J031212.12-071627.8,48.05061,-7.27448,*,,,,22.9g,0.0,0,0,17,2,0,4,0
